403      GET       10l       30w      297c http://192.168.70.193/.subversion.txt
403      GET       10l       30w      292c http://192.168.70.193/.perf.html
403      GET       10l       30w      297c http://192.168.70.193/.sh_history.txt
403      GET       10l       30w      294c http://192.168.70.193/.passwd.html
403      GET       10l       30w      290c http://192.168.70.193/.svn.txt
403      GET       10l       30w      291c http://192.168.70.193/.ssh.html
403      GET       10l       30w      300c http://192.168.70.193/.mysql_history.php
403      GET       10l       30w      294c http://192.168.70.193/.rhosts.html
403      GET       10l       30w      298c http://192.168.70.193/.subversion.html
403      GET       10l       30w      291c http://192.168.70.193/.perf.php
403      GET       10l       30w      293c http://192.168.70.193/.passwd.php
403      GET       10l       30w      294c http://192.168.70.193/.profile.php
403      GET       10l       30w      298c http://192.168.70.193/.sh_history.html
403      GET       10l       30w      291c http://192.168.70.193/.svn.html
403      GET       10l       30w      290c http://192.168.70.193/.ssh.php
403      GET       10l       30w      293c http://192.168.70.193/.rhosts.php
403      GET       10l       30w      291c http://192.168.70.193/.perf.asp
403      GET       10l       30w      297c http://192.168.70.193/.subversion.php
403      GET       10l       30w      300c http://192.168.70.193/.mysql_history.asp
403      GET       10l       30w      294c http://192.168.70.193/.profile.asp
403      GET       10l       30w      293c http://192.168.70.193/.passwd.asp
403      GET       10l       30w      290c http://192.168.70.193/.svn.php
403      GET       10l       30w      297c http://192.168.70.193/.sh_history.php
403      GET       10l       30w      297c http://192.168.70.193/.subversion.asp
403      GET       10l       30w      290c http://192.168.70.193/.ssh.asp
403      GET       10l       30w      293c http://192.168.70.193/.rhosts.asp
403      GET       10l       30w      301c http://192.168.70.193/.mysql_history.aspx
403      GET       10l       30w      292c http://192.168.70.193/.perf.aspx
403      GET       10l       30w      295c http://192.168.70.193/.profile.aspx
403      GET       10l       30w      294c http://192.168.70.193/.passwd.aspx
403      GET       10l       30w      297c http://192.168.70.193/.sh_history.asp
403      GET       10l       30w      290c http://192.168.70.193/.svn.asp
403      GET       10l       30w      294c http://192.168.70.193/.rhosts.aspx
403      GET       10l       30w      298c http://192.168.70.193/.subversion.aspx
403      GET       10l       30w      300c http://192.168.70.193/.mysql_history.jsp
403      GET       10l       30w      291c http://192.168.70.193/.ssh.aspx
403      GET       10l       30w      291c http://192.168.70.193/.perf.jsp
403      GET       10l       30w      298c http://192.168.70.193/.sh_history.aspx
403      GET       10l       30w      293c http://192.168.70.193/.passwd.jsp
403      GET       10l       30w      291c http://192.168.70.193/.svn.aspx
403      GET       10l       30w      294c http://192.168.70.193/.profile.jsp
403      GET       10l       30w      293c http://192.168.70.193/.rhosts.jsp
403      GET       10l       30w      294c http://192.168.70.193/.svn/entries
403      GET       10l       30w      297c http://192.168.70.193/.sh_history.jsp
403      GET       10l       30w      297c http://192.168.70.193/.subversion.jsp
403      GET       10l       30w      286c http://192.168.70.193/.swf
403      GET       10l       30w      290c http://192.168.70.193/.ssh.jsp
403      GET       10l       30w      290c http://192.168.70.193/.svn.jsp
403      GET       10l       30w      292c http://192.168.70.193/.svnignore
403      GET       10l       30w      286c http://192.168.70.193/.web
403      GET       10l       30w      339c http://192.168.70.193/.well-known/apple-developer-merchantid-domain-association
403      GET       10l       30w      308c http://192.168.70.193/.well-known/acme-challenge
403      GET       10l       30w      298c http://192.168.70.193/.svn/entries.txt
403      GET       10l       30w      290c http://192.168.70.193/.swf.txt
403      GET       10l       30w      320c http://192.168.70.193/.well-known/apple-app-site-association
403      GET       10l       30w      300c http://192.168.70.193/.well-known/ashrae
403      GET       10l       30w      290c http://192.168.70.193/.web.txt
403      GET       10l       30w      309c http://192.168.70.193/.well-known/assetlinks.json
403      GET       10l       30w      296c http://192.168.70.193/.svnignore.txt
403      GET       10l       30w      312c http://192.168.70.193/.well-known/acme-challenge.txt
403      GET       10l       30w      291c http://192.168.70.193/.swf.html
403      GET       10l       30w      343c http://192.168.70.193/.well-known/apple-developer-merchantid-domain-association.txt
403      GET       10l       30w      304c http://192.168.70.193/.well-known/ashrae.txt
403      GET       10l       30w      324c http://192.168.70.193/.well-known/apple-app-site-association.txt
403      GET       10l       30w      299c http://192.168.70.193/.svn/entries.html
403      GET       10l       30w      291c http://192.168.70.193/.web.html
403      GET       10l       30w      313c http://192.168.70.193/.well-known/assetlinks.json.txt
403      GET       10l       30w      297c http://192.168.70.193/.svnignore.html
403      GET       10l       30w      344c http://192.168.70.193/.well-known/apple-developer-merchantid-domain-association.html
403      GET       10l       30w      313c http://192.168.70.193/.well-known/acme-challenge.html
403      GET       10l       30w      305c http://192.168.70.193/.well-known/ashrae.html
403      GET       10l       30w      325c http://192.168.70.193/.well-known/apple-app-site-association.html
403      GET       10l       30w      290c http://192.168.70.193/.web.php
403      GET       10l       30w      296c http://192.168.70.193/.svnignore.php
403      GET       10l       30w      314c http://192.168.70.193/.well-known/assetlinks.json.html
403      GET       10l       30w      290c http://192.168.70.193/.swf.php
403      GET       10l       30w      298c http://192.168.70.193/.svn/entries.php
403      GET       10l       30w      343c http://192.168.70.193/.well-known/apple-developer-merchantid-domain-association.php
403      GET       10l       30w      312c http://192.168.70.193/.well-known/acme-challenge.php
403      GET       10l       30w      324c http://192.168.70.193/.well-known/apple-app-site-association.php
403      GET       10l       30w      296c http://192.168.70.193/.svnignore.asp
403      GET       10l       30w      304c http://192.168.70.193/.well-known/ashrae.php
403      GET       10l       30w      313c http://192.168.70.193/.well-known/assetlinks.json.php
403      GET       10l       30w      290c http://192.168.70.193/.swf.asp
403      GET       10l       30w      290c http://192.168.70.193/.web.asp
403      GET       10l       30w      298c http://192.168.70.193/.svn/entries.asp
403      GET       10l       30w      343c http://192.168.70.193/.well-known/apple-developer-merchantid-domain-association.asp
403      GET       10l       30w      312c http://192.168.70.193/.well-known/acme-challenge.asp
403      GET       10l       30w      313c http://192.168.70.193/.well-known/assetlinks.json.asp
403      GET       10l       30w      291c http://192.168.70.193/.swf.aspx
403      GET       10l       30w      297c http://192.168.70.193/.svnignore.aspx
403      GET       10l       30w      291c http://192.168.70.193/.web.aspx
403      GET       10l       30w      324c http://192.168.70.193/.well-known/apple-app-site-association.asp
403      GET       10l       30w      299c http://192.168.70.193/.svn/entries.aspx
403      GET       10l       30w      304c http://192.168.70.193/.well-known/ashrae.asp
403      GET       10l       30w      313c http://192.168.70.193/.well-known/acme-challenge.aspx
403      GET       10l       30w      314c http://192.168.70.193/.well-known/assetlinks.json.aspx
403      GET       10l       30w      290c http://192.168.70.193/.swf.jsp
403      GET       10l       30w      344c http://192.168.70.193/.well-known/apple-developer-merchantid-domain-association.aspx
403      GET       10l       30w      290c http://192.168.70.193/.web.jsp
403      GET       10l       30w      296c http://192.168.70.193/.svnignore.jsp
403      GET       10l       30w      325c http://192.168.70.193/.well-known/apple-app-site-association.aspx
403      GET       10l       30w      298c http://192.168.70.193/.svn/entries.jsp
403      GET       10l       30w      305c http://192.168.70.193/.well-known/ashrae.aspx
403      GET       10l       30w      312c http://192.168.70.193/.well-known/acme-challenge.jsp
